"","V1","V2","V3","V4","V5","V6","V7"
"10",464980.471927,-0.0793,0.1802,0.0619,-1.1173,0.7539,1.5157
"52",464980.502109,-0.094,0.1874,-0.0075,-1.2194,0.8451,1.5323
"47",464980.53226,-0.0725,0.2765,-0.0415,-1.1496,0.8611,1.6448
"111",464980.562411,-0.1081,0.2538,-0.1139,-0.956,0.7095,1.4888
"358",464980.592593,-0.173,0.1906,-0.1771,-1.0599,0.8558,1.4074
"305",464980.622745,-0.1011,0.2679,-0.1818,-0.863,0.8289,1.4577
"97",464980.652896,-0.1163,0.2808,-0.206,-0.6857,0.5915,1.2048
"220",464980.683078,-0.1692,0.2237,-0.2307,-0.7989,0.6157,1.0188
"42",464980.713229,-0.1171,0.3159,-0.2326,-0.5984,0.4871,0.9421
"255",464980.74338,-0.1533,0.312,-0.2143,-0.4218,0.2896,0.6296
"22",464980.773562,-0.1799,0.2496,-0.2023,-0.4728,0.3464,0.4728
"256",464980.803714,-0.1133,0.2871,-0.1927,-0.4041,0.3231,0.3903
"85",464980.833896,-0.0989,0.2638,-0.1491,-0.2287,0.1827,0.1681
"267",464980.864047,-0.1091,0.2084,-0.1273,-0.431,0.1978,0.1284
"196",464980.894198,-0.0687,0.218,-0.1075,-0.4967,0.2127,0.1829
"185",464980.92438,-0.0135,0.2277,-0.0746,-0.3964,0.1242,0.2541
"350",464980.954532,0.0887,0.1173,0.038,-0.5287,-0.0017,0.3385
"57",464980.984683,0.0776,0.0197,0.1025,-0.9449,-0.0048,0.4578
"174",464981.014865,0.0607,0.036,0.1931,-1.4236,0.0203,0.5664
"260",464981.045016,0.0612,0.1338,0.3854,-2.3988,0.1125,1.06
"53",464981.075198,0.0668,0.0146,0.2699,-4.422,0.3979,1.851
"9",464981.105349,0.0122,0.2203,0.2303,-6.1199,1.3093,1.7166
"349",464981.135501,-0.0936,-0.0674,0.2196,-6.6992,0.6622,2.2854
"121",464981.165683,-0.3098,-0.0164,0.1845,-5.7833,0.7623,1.8274
"7",464981.195834,-0.5068,0.2514,0.3612,-4.278,1.1231,2.0791
"77",464981.225985,-0.4911,-0.0167,-0.0078,-5.4909,2.5187,1.1895
"103",464981.256167,0.0145,0.7715,0.0635,-5.0323,2.1484,0.4857
"377",464981.286319,0.1548,0.5425,-0.0701,-4.7798,0.7001,0.1276
"189",464981.31647,-0.0471,0.3679,-0.0221,-4.7918,0.2538,0.1146
"298",464981.346638,-0.1133,0.295,-0.0275,-2.9395,0.6245,0.2353
"12",464981.376789,0.0862,0.4163,0.0018,0.6111,0.3621,0.5588
"348",464981.406971,0.0805,0.0208,0.1023,1.4617,0.4862,0.5501
"226",464981.437123,0.2056,-0.3953,0.1017,-0.118,0.6305,0.3791
"55",464981.467274,0.5294,0.1387,0.0422,-2.1462,0.6146,-0.4643
"251",464981.497456,0.5245,0.4857,0.0198,0.0833,-0.0682,-0.242
"74",464981.527607,0.0385,-0.102,0.0328,0.5082,-0.3338,0.0636
"355",464981.557759,-0.168,-0.3803,0.0299,-0.5834,0.2075,0.0726
"268",464981.58794,0.0933,-0.0346,-0.0497,-0.2184,0.1659,0.1166
"243",464981.618092,0.0909,0.0296,0.0209,-0.1762,0.0417,0.1372
"319",464981.648274,-0.061,-0.053,-0.0044,-0.2656,0.0607,0.0762
"303",464981.678425,-0.0955,-0.0095,0,-0.0809,0.1235,-0.0279
"81",464981.708576,-0.0727,0.0477,0.0307,-0.0378,0.096,-0.0986
"187",464981.738758,-0.0451,0.0581,0.0495,0.1508,0.0095,-0.0851
"4",464981.76891,-0.0285,0.0157,0.0617,0.1389,-0.0053,-0.0981
"183",464981.799061,0.0122,0.0378,0.1022,0.2421,-0.0177,-0.0681
"161",464981.829243,0.0369,7e-04,0.0948,0.0593,-0.0889,0.0124
"325",464981.859394,0.0145,-0.0047,0.0552,0.0236,-0.0502,0.0041
"51",464981.889576,0.0603,-0.0572,0.0968,0.1219,-0.0327,0.0311
"361",464981.919728,0.0314,-0.0338,0.0759,0.0377,-0.0453,0.063
"193",464981.949879,0.0061,-0.0304,0.0672,0.0517,-0.0304,0.0599
"146",464981.980061,-0.0225,-0.009,-0.0156,0.042,-0.1528,0.1627
"197",464982.010212,-0.054,0.1145,-0.0858,-0.0783,-0.2016,0.0371
"109",464982.040364,-0.0763,-0.0697,-0.0099,-0.0208,-0.0552,-0.1864
"264",464982.070545,0.09,0.0102,0.0437,0.0369,-0.2826,0.0858
"331",464982.100697,0.0515,0.0042,0.0079,0.0334,0.0609,-0.0164
"14",464982.130848,0.105,-0.0744,0.087,0.0806,0.0798,0.0073
"135",464982.16103,0.0441,-0.0439,0.0628,0.0628,0.112,-0.0075
"242",464982.191181,0.0238,0.0299,0.0063,0.1019,0.0699,0.035
"286",464982.221363,-0.0441,0.0678,0.0234,-0.0503,0.045,-0.1322
"387",464982.251515,-0.1145,-0.0733,0.0615,0.1253,0.0172,-0.0979
"370",464982.281666,0.0932,0.0163,-0.0103,0.0219,-0.2046,0.0853
"16",464982.311848,0.0505,-0.1097,-0.0938,-0.0283,-0.1821,-0.0504
"240",464982.342005,0.004,0.0201,0.0054,0.0835,-0.2043,0.0052
"263",464982.372157,-0.0523,-0.0543,0.0557,-0.0963,-0.0638,-0.1159
"275",464982.402339,0.0233,0.0065,-0.0345,0.0889,-0.1827,-0.0439
"106",464982.43249,-0.0059,0.0207,-0.0173,0.031,-0.0283,-0.0963
"116",464982.462672,0.0304,-0.0251,0.0378,0.0608,-0.0427,-0.0386
"188",464982.492823,0.0137,0.0518,0.0156,0.0759,-0.0595,0.0747
"235",464982.522975,0.0274,-0.044,0.0753,0.0491,0.0221,0.0293
"341",464982.553156,0.0508,0.0165,-0.0125,0.1973,-0.2396,0.0938
"38",464982.583308,-0.192,0.1082,-0.0089,0.0793,-0.0797,-0.1073
"281",464982.613459,-0.0293,0.0228,-0.0289,0.1106,-0.3073,-0.1079
"165",464982.643641,0.0111,0.0613,-0.182,0.2258,-0.4814,-0.0352
"312",464982.673792,-0.0056,-0.048,0.0535,0.7271,-0.3033,-0.199
"365",464982.703944,0.0941,-0.1051,0.1141,0.5485,-0.3041,-0.1019
"80",464982.734126,0.0656,-0.0308,0.0686,0.5529,-0.3593,-0.1526
"36",464982.764277,0.053,0.0123,0.0577,1.2684,-0.2765,-0.2794
